country,unit,year,montly_earnings
Estonia,Currency: 2017 PPP $,2017,2023.73
Estonia,Currency: U.S. dollars,2017,1379.34
Estonia,Currency: 2017 PPP $,2018,2132.53
Estonia,Currency: U.S. dollars,2018,1547.05
Ethiopia,Currency: 2017 PPP $,2013,186.44
Ethiopia,Currency: U.S. dollars,2013,72.44
Finland,Currency: 2017 PPP $,2010,3108.39
Finland,Currency: U.S. dollars,2010,4035.48
Finland,Currency: 2017 PPP $,2011,2978.75
Finland,Currency: U.S. dollars,2011,4038.06
Finland,Currency: 2017 PPP $,2013,3120.9
Finland,Currency: U.S. dollars,2013,4073.34
Finland,Currency: 2017 PPP $,2014,3134.53
Finland,Currency: U.S. dollars,2014,4074.51
Finland,Currency: 2017 PPP $,2015,3100.05
Finland,Currency: U.S. dollars,2015,3368.48
Finland,Currency: 2017 PPP $,2017,3253.4
Finland,Currency: U.S. dollars,2017,3451.18
Finland,Currency: 2017 PPP $,2018,3311.17
Finland,Currency: U.S. dollars,2018,3646.79
Finland,Currency: U.S. dollars,2019,3518.51
Finland,Currency: 2017 PPP $,2012,3225.02
Finland,Currency: U.S. dollars,2012,4103.62
Fiji,Currency: 2017 PPP $,2011,907.43
Fiji,Currency: U.S. dollars,2011,514.93
Fiji,Currency: 2017 PPP $,2016,1146.36
Fiji,Currency: U.S. dollars,2016,533.61
France,Currency: 2017 PPP $,2011,3157.48
France,Currency: U.S. dollars,2011,3879.38
France,Currency: 2017 PPP $,2012,3247.66
France,Currency: U.S. dollars,2012,3698.91
France,Currency: 2017 PPP $,2013,3373.62
France,Currency: U.S. dollars,2013,3858.18
France,Currency: 2017 PPP $,2015,3396.71
France,Currency: U.S. dollars,2015,3286.07
France,Currency: 2017 PPP $,2016,3527.89
France,Currency: U.S. dollars,2016,3308.28
United Kingdom,Currency: 2017 PPP $,2010,2722.77
United Kingdom,Currency: U.S. dollars,2010,3274.21
United Kingdom,Currency: 2017 PPP $,2011,2722.21
United Kingdom,Currency: U.S. dollars,2011,3391.86
United Kingdom,Currency: 2017 PPP $,2012,2705.77
United Kingdom,Currency: U.S. dollars,2012,3364.68
United Kingdom,Currency: 2017 PPP $,2013,2751.98
United Kingdom,Currency: U.S. dollars,2013,3411.18
United Kingdom,Currency: 2017 PPP $,2015,2740.14
United Kingdom,Currency: U.S. dollars,2015,3373.33
United Kingdom,Currency: 2017 PPP $,2016,2892.34
United Kingdom,Currency: U.S. dollars,2016,3079.79
United Kingdom,Currency: 2017 PPP $,2017,2991.49
United Kingdom,Currency: U.S. dollars,2017,3012.96
Georgia,Currency: 2017 PPP $,2010,752.85
Georgia,Currency: U.S. dollars,2010,335.29
Georgia,Currency: 2017 PPP $,2011,761.42
Georgia,Currency: U.S. dollars,2011,377.09
Georgia,Currency: 2017 PPP $,2012,871.26
Georgia,Currency: U.S. dollars,2012,431.49
Georgia,Currency: 2017 PPP $,2013,955.66
Georgia,Currency: U.S. dollars,2013,464.78
Georgia,Currency: 2017 PPP $,2014,988.22
Georgia,Currency: U.S. dollars,2014,463.29
Georgia,Currency: 2017 PPP $,2015,1037.91
Georgia,Currency: U.S. dollars,2015,396.77
Georgia,Currency: 2017 PPP $,2016,1064.83
Georgia,Currency: U.S. dollars,2016,397.18
Georgia,Currency: 2017 PPP $,2017,1080.52
Georgia,Currency: U.S. dollars,2017,398.13
Georgia,Currency: 2017 PPP $,2018,1153.35
Georgia,Currency: U.S. dollars,2018,421.56
Ghana,Currency: 2017 PPP $,2015,659.78
Ghana,Currency: U.S. dollars,2015,241.02
Ghana,Currency: 2017 PPP $,2013,662.01
Ghana,Currency: U.S. dollars,2013,320.82
Gibraltar,Currency: U.S. dollars,2012,1897.33
Gibraltar,Currency: U.S. dollars,2015,1951.18
Gibraltar,Currency: U.S. dollars,2016,1702.1
Gambia,Currency: 2017 PPP $,2012,470.85
Gambia,Currency: U.S. dollars,2012,161.94
Greece,Currency: 2017 PPP $,2011,1360
Greece,Currency: U.S. dollars,2011,1463.01
Greece,Currency: 2017 PPP $,2012,1252
Greece,Currency: U.S. dollars,2012,1225.87
Greece,Currency: 2017 PPP $,2013,1254.72
Greece,Currency: U.S. dollars,2013,1199.59
Greece,Currency: 2017 PPP $,2015,1261.5
Greece,Currency: U.S. dollars,2015,960.74
Greece,Currency: 2017 PPP $,2016,1324.53
Greece,Currency: U.S. dollars,2016,968.54
Greece,Currency: 2017 PPP $,2017,1345.67
Greece,Currency: U.S. dollars,2017,991.75
Greece,Currency: 2017 PPP $,2018,1384.24
Greece,Currency: U.S. dollars,2018,1047.15
Guatemala,Currency: 2017 PPP $,2010,573.2
Guatemala,Currency: U.S. dollars,2010,268.92
Guatemala,Currency: 2017 PPP $,2011,569
Guatemala,Currency: U.S. dollars,2011,284.48
Guatemala,Currency: 2017 PPP $,2012,589.57
Guatemala,Currency: U.S. dollars,2012,289.09
Guatemala,Currency: 2017 PPP $,2018,583.92
Guatemala,Currency: U.S. dollars,2018,346.32
Guyana,Currency: 2017 PPP $,2018,835.9
Guyana,Currency: U.S. dollars,2018,460.04
"Hong Kong, China",Currency: 2017 PPP $,2010,1987.97
"Hong Kong, China",Currency: U.S. dollars,2010,1415.85
"Hong Kong, China",Currency: 2017 PPP $,2011,1947.94
"Hong Kong, China",Currency: U.S. dollars,2011,1413.16
"Hong Kong, China",Currency: 2017 PPP $,2013,2088.53
"Hong Kong, China",Currency: U.S. dollars,2013,1624.55
"Hong Kong, China",Currency: 2017 PPP $,2014,2090.73
"Hong Kong, China",Currency: U.S. dollars,2014,1676.54
"Hong Kong, China",Currency: 2017 PPP $,2015,2290.58
"Hong Kong, China",Currency: U.S. dollars,2015,1831.84
"Hong Kong, China",Currency: 2017 PPP $,2016,2383.6
"Hong Kong, China",Currency: U.S. dollars,2016,1932.43
Honduras,Currency: 2017 PPP $,2012,664.57
Honduras,Currency: U.S. dollars,2012,341.58
Honduras,Currency: 2017 PPP $,2013,582.88
Honduras,Currency: U.S. dollars,2013,297.01
Honduras,Currency: 2017 PPP $,2014,626.47
Honduras,Currency: U.S. dollars,2014,318.53
Honduras,Currency: 2017 PPP $,2015,621.12
